#,SCG Bibtex,Type,Title,First Author,Second Author,Third Author,Fourth Author,Fifth Author,Sixth Author,Seven Author,Eighth Author,Nineth Author,Tenth Author,Eleventh Author,Twelveth Author,Year,Venue
155,Purc02a,Paper,UML collaboration diagram syntax: an empirical study of comprehension ,"Purchase, H.C.","Colpoys, L.","McGill, M.","Carrington, D.",,,,,,,,,2002,VISSOFT
1,Saja03a,Paper,Program animation based on the roles of variables,"Sajaniemi, J.","Kuittinen, M.",,,,,,,,,,,2003,SOFTVIS
2,Elmq03a,Paper,Growing squares: animated visualization of causal relations,"Elmqvist, N.","Tsigas, P.",,,,,,,,,,,2003,SOFTVIS
3,Marc03a,Paper,3D representations for software visualization,"Marcus, A.","Feng, L.","Maletic, J.I.",,,,,,,,,,2003,SOFTVIS
4,Wang03a,Paper,EVolve: an open extensible software visualization framework,"Wang, Q.","Wang, W.","Brown, R.","Driesen, K.","Dufour, B.","Hendren, L.","Verbrugge, C.",,,,,,2003,SOFTVIS
5,Lint03a,Paper,Plugging-in visualization: experiences integrating a visualization tool with Eclipse,"Lintern, R.","Michaud, J.","Storey, M.-A.","Wu, X.",,,,,,,,,2003,SOFTVIS
6,Reis03a,Paper,Visualizing Java in action,"Reiss, S.P.",,,,,,,,,,,,2003,SOFTVIS
7,Orso03a,Paper,Visualization of program-execution data for deployed software,"Orso, A.","Jones, J.","Harrold, M.J.",,,,,,,,,,2003,SOFTVIS
8,Coll03a,Paper,A system for graph-based visualization of the evolution of software,"Collberg, C.","Kobourov, S.","Nagra, J.","Pitts, J.","Wampler, K.",,,,,,,,2003,SOFTVIS
9,Griss03a,Paper,Algorithm visualization in CS education: comparing levels of student engagement,"Grissom, S.","McNally, M.F.","Naps, T.",,,,,,,,,,2003,SOFTVIS
10,Hubs03a,Paper,Dancing hamsters and marble statues: characterizing student visualizations of algorithms,"Hubscher-Younger, T.","Narayanan, N.H.",,,,,,,,,,,2003,SOFTVIS
11,Tudo03a,Paper,Designing effective program visualization tools for reducing user's cognitive effort,"Tudoreanu, M.E.",,,,,,,,,,,,2003,SOFTVIS
12,Jaco03a,Paper,Interactive visual debugging with UML,"Jacobs, T.","Musial, B.",,,,,,,,,,,2003,SOFTVIS
13,Ruth03a,Paper,End-user software visualizations for fault localization,"Ruthruff, J.","Creswick, E.","Burnett, M.","Cook, C.","Prabhakararao, S.","Fisher,II, M.","Main, M.",,,,,,2003,SOFTVIS
14,Mu03a,Paper,Interactive locality optimization on NUMA architectures,"Mu, T.","Tao, J.","Schulz, M.","McKee, S.A.",,,,,,,,,2003,SOFTVIS
15,Zhou03a,Paper,Graph visualization for the analysis of the structure and dynamics of extreme-scale supercomputers,"Zhou, C.","Summers, S.L.","Caudell, T.P.",,,,,,,,,,2003,SOFTVIS
16,Gasn03a,Paper,Visualizing software for telecommunication services,"Gansner, E.R.","Mocenigo, M.M.","North, S.C.",,,,,,,,,,2003,SOFTVIS
17,Eich03a,Paper,Nice class diagrams admit good design?,"Eichelberger, H.",,,,,,,,,,,,2003,SOFTVIS
18,Haus03a,Paper,Visualizing model mappings in UML,"Hausmann, J.H.","Kent, S.",,,,,,,,,,,2003,SOFTVIS
19,Gutw03a,Paper,A new approach for visualizing UML class diagrams,"Gutwenger, C.","Junger, M.","Klein, K.","Kupke, J.","Leipert, S.","Mutzel, P.",,,,,,,2003,SOFTVIS
20,Eigl03a,Paper, A topology-shape-metrics approach for the automatic layout of UML class diagrams,"Eiglsperger, M.","Kaufmann, M.","Siebenhaller, M.",,,,,,,,,,2003,SOFTVIS
21,Balo05a,Paper,Algorithm visualization using concept keyboards,"Baloian, N.","Breuer, H.","Luther, W.",,,,,,,,,,2005,SOFTVIS
22,Joha05a,Paper,Algorithm animation using shape analysis: visualising abstract executions,"Johannes, D.","Seidel, R.","Wilhelm, R.",,,,,,,,,,2005,SOFTVIS
23,Ghon05a,Paper,Peeking in solver strategies using explanations visualization of dynamic graphs for constraint programming,"Ghoniem, M.","Cambazard, H.","Fekete, J.-D.","Jussien, N.",,,,,,,,,2005,SOFTVIS
24,Burc05a,Paper,Visual data mining in software archives,"Burch, M.","Diehl, S.","Weissgerber, P.",,,,,,,,,,2005,SOFTVIS
25,Voin05a,Paper,CVSscan: visualization of code evolution,"Voinea, L.","Telea, A.","van Wijk, J.J.",,,,,,,,,,2005,SOFTVIS
